operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
AssociateAccessGrantsIdentityCenter,/v20180820/accessgrantsinstance/identitycenter,POST,,x-amz-account-id,,"AccountId,IdentityCenterArn",Associate your S3 Access Grants instance with a...,access_grants_instances,associate_access_grants_identity_center,exec,,,,,
CreateAccessGrant,/v20180820/accessgrantsinstance/grant,POST,,x-amz-account-id,,"AccessGrantsLocationId,AccountId,Grantee,Permission",Creates an access grant that gives a grantee ac...,access_grants,create_access_grant,insert,,,,,
CreateAccessGrantsInstance,/v20180820/accessgrantsinstance,POST,,x-amz-account-id,,AccountId,"Creates an S3 Access Grants instance, which ser...",access_grants_instances,create_access_grants_instance,insert,,,,,
CreateAccessGrantsLocation,/v20180820/accessgrantsinstance/location,POST,,x-amz-account-id,,"AccountId,IAMRoleArn,LocationScope",The S3 data location that you would like to reg...,access_grants_locations,create_access_grants_location,insert,,,,,
CreateAccessPoint,/v20180820/accesspoint/{Name},PUT,Name,x-amz-account-id,,"AccountId,Bucket,Name",Creates an access point and associates it to a ...,access_points,create_access_point,insert,,,,,
CreateAccessPointForObjectLambda,/v20180820/accesspointforobjectlambda/{Name},PUT,Name,x-amz-account-id,,"AccountId,Configuration,Name",This operation is not supported by directory bu...,access_points_for_object_lambda,create_access_point_for_object_lambda,insert,,,,,
CreateBucket,/v20180820/bucket/{Bucket},PUT,Bucket,,,,This action creates an Amazon S3 on Outposts bu...,buckets,create_bucket,insert,,,,,
CreateJob,/v20180820/jobs,POST,,x-amz-account-id,,"AccountId,ClientRequestToken,Operation,Priority,Report,RoleArn",This operation creates an S3 Batch Operations j...,jobs,create_job,insert,,,,,
CreateMultiRegionAccessPoint,/v20180820/async-requests/mrap/create,POST,,x-amz-account-id,,"AccountId,ClientToken,Details",This operation is not supported by directory bu...,multi_region_access_points,create_multi_region_access_point,insert,,,,,
CreateStorageLensGroup,/v20180820/storagelensgroup,POST,,x-amz-account-id,,"AccountId,StorageLensGroup",Creates a new S3 Storage Lens group and associa...,storage_lens_groups,create_storage_lens_group,insert,,,,,
DeleteAccessGrant,/v20180820/accessgrantsinstance/grant/{AccessGrantId},DELETE,AccessGrantId,x-amz-account-id,,,Deletes the access grant from the S3 Access Gra...,access_grants,delete_access_grant,delete,,,,,
DeleteAccessGrantsInstance,/v20180820/accessgrantsinstance,DELETE,,x-amz-account-id,,,Deletes your S3 Access Grants instance. You mus...,access_grants_instances,delete_access_grants_instance,delete,,,,,
DeleteAccessGrantsInstanceResourcePolicy,/v20180820/accessgrantsinstance/resourcepolicy,DELETE,,x-amz-account-id,,,Deletes the resource policy of the S3 Access Gr...,access_grants_instance_resource_policies,delete_access_grants_instance_resource_policy,delete,,,,,
DeleteAccessGrantsLocation,/v20180820/accessgrantsinstance/location/{AccessGrantsLocationId},DELETE,AccessGrantsLocationId,x-amz-account-id,,,Deregisters a location from your S3 Access Gran...,access_grants_locations,delete_access_grants_location,delete,,,,,
