operationId,path,verb,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
AddAssociation,/#X-Amz-Target=SageMaker.AddAssociation,POST,Creates an _association_ between the source and...,associations,add_association,exec,,,,,
AddTags,/#X-Amz-Target=SageMaker.AddTags,POST,Adds or overwrites one or more tags for the spe...,tags,add_tags,exec,,,,,
AssociateTrialComponent,/#X-Amz-Target=SageMaker.AssociateTrialComponent,POST,Associates a trial component with a trial. A tr...,trial_components,associate_trial_component,exec,,,,,
AttachClusterNodeVolume,/#X-Amz-Target=SageMaker.AttachClusterNodeVolume,POST,Attaches your Amazon Elastic Block Store (Amazo...,cluster_nodes,attach_cluster_node_volume,exec,,,,,
BatchAddClusterNodes,/#X-Amz-Target=SageMaker.BatchAddClusterNodes,POST,Adds nodes to a HyperPod cluster by incrementin...,cluster_nodes,batch_add_cluster_nodes,exec,,,,,
BatchDeleteClusterNodes,/#X-Amz-Target=SageMaker.BatchDeleteClusterNodes,POST,Deletes specific nodes within a SageMaker Hyper...,cluster_nodes,batch_delete_cluster_nodes,exec,,,,,
BatchDescribeModelPackage,/#X-Amz-Target=SageMaker.BatchDescribeModelPackage,POST,This action batch describes a list of versioned...,model_packages,batch_describe_model_package,exec,,,,,
BatchRebootClusterNodes,/#X-Amz-Target=SageMaker.BatchRebootClusterNodes,POST,Reboots specific nodes within a SageMaker Hyper...,cluster_nodes,batch_reboot_cluster_nodes,exec,,,,,
BatchReplaceClusterNodes,/#X-Amz-Target=SageMaker.BatchReplaceClusterNodes,POST,Replaces specific nodes within a SageMaker Hype...,cluster_nodes,batch_replace_cluster_nodes,exec,,,,,
CreateAction,/#X-Amz-Target=SageMaker.CreateAction,POST,Creates an _action_. An action is a lineage tra...,actions,create_action,insert,,,,,
CreateAlgorithm,/#X-Amz-Target=SageMaker.CreateAlgorithm,POST,Create a machine learning algorithm that you ca...,algorithms,create_algorithm,insert,,,,,
CreateApp,/#X-Amz-Target=SageMaker.CreateApp,POST,Creates a running app for the specified UserPro...,apps,create_app,insert,,,,,
CreateAppImageConfig,/#X-Amz-Target=SageMaker.CreateAppImageConfig,POST,Creates a configuration for running a SageMaker...,app_image_configs,create_app_image_config,insert,,,,,
CreateArtifact,/#X-Amz-Target=SageMaker.CreateArtifact,POST,Creates an _artifact_. An artifact is a lineage...,artifacts,create_artifact,insert,,,,,
