operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
CreateBatchInferenceJob,/#X-Amz-Target=AmazonPersonalize.CreateBatchInferenceJob,POST,,,,"jobInput,jobName,jobOutput,roleArn,solutionVersionArn",Generates batch recommendations based on a list...,batch_inference_jobs,create_batch_inference_job,insert,,,,,
CreateBatchSegmentJob,/#X-Amz-Target=AmazonPersonalize.CreateBatchSegmentJob,POST,,,,"jobInput,jobName,jobOutput,roleArn,solutionVersionArn",Creates a batch segment job. The operation can ...,batch_segment_jobs,create_batch_segment_job,insert,,,,,
CreateCampaign,/#X-Amz-Target=AmazonPersonalize.CreateCampaign,POST,,,,"name,solutionVersionArn",You incur campaign costs while it is active. To...,campaigns,create_campaign,insert,,,,,
CreateDataDeletionJob,/#X-Amz-Target=AmazonPersonalize.CreateDataDeletionJob,POST,,,,"dataSource,datasetGroupArn,jobName,roleArn",Creates a batch job that deletes all references...,data_deletion_jobs,create_data_deletion_job,insert,,,,,
CreateDataset,/#X-Amz-Target=AmazonPersonalize.CreateDataset,POST,,,,"datasetGroupArn,datasetType,name,schemaArn",Creates an empty dataset and adds it to the spe...,datasets,create_dataset,insert,,,,,
CreateDatasetExportJob,/#X-Amz-Target=AmazonPersonalize.CreateDatasetExportJob,POST,,,,"datasetArn,jobName,jobOutput,roleArn",Creates a job that exports data from your datas...,dataset_export_jobs,create_dataset_export_job,insert,,,,,
CreateDatasetGroup,/#X-Amz-Target=AmazonPersonalize.CreateDatasetGroup,POST,,,,name,Creates an empty dataset group. A dataset group...,dataset_groups,create_dataset_group,insert,,,,,
CreateDatasetImportJob,/#X-Amz-Target=AmazonPersonalize.CreateDatasetImportJob,POST,,,,"dataSource,datasetArn,jobName",Creates a job that imports training data from y...,dataset_import_jobs,create_dataset_import_job,insert,,,,,
CreateEventTracker,/#X-Amz-Target=AmazonPersonalize.CreateEventTracker,POST,,,,"datasetGroupArn,name",Creates an event tracker that you use when addi...,event_trackers,create_event_tracker,insert,,,,,
CreateFilter,/#X-Amz-Target=AmazonPersonalize.CreateFilter,POST,,,,"datasetGroupArn,filterExpression,name",Creates a recommendation filter. For more infor...,filters,create_filter,insert,,,,,
